id,label,iconify_id,set,notes
noto_avocado,Avocado,noto:avocado,Noto Emoji,
noto_tomato,Tomato,noto:tomato,Noto Emoji,
twemoji_cucumber,Cucumber,twemoji:cucumber,Twemoji,
noto_leafy-green,Leafy Green (Lettuce),noto:leafy-green,Noto Emoji,
noto_carrot,Carrot,noto:carrot,Noto Emoji,
noto_ear-of-corn,Corn,noto:ear-of-corn,Noto Emoji,
noto_eggplant,Eggplant,noto:eggplant,Noto Emoji,
noto_broccoli,Broccoli,noto:broccoli,Noto Emoji,
noto_cauliflower,Cauliflower,noto:cauliflower,Noto Emoji,
noto_mushroom,Mushroom,noto:mushroom,Noto Emoji,
noto_onion,Onion,noto:onion,Noto Emoji,
noto_garlic,Garlic,noto:garlic,Noto Emoji,
noto_bell-pepper,Bell Pepper,noto:bell-pepper,Noto Emoji,
noto_hot-pepper,Hot Pepper,noto:hot-pepper,Noto Emoji,
noto_olive,Olive,noto:olive,Noto Emoji,
noto_herb,Herb (Parsley/Cilantro),noto:herb,Noto Emoji,
twemoji_herb,Basil (Leaf Herb),twemoji:herb,Twemoji,
noto_herb,Mint,noto:herb,Noto Emoji,reuse herb for mint
noto_herb,Dill,noto:herb,Noto Emoji,reuse herb for dill
twemoji_radish,Radish,twemoji:radish,Twemoji,
openmoji_beet,Beet,openmoji:beet,OpenMoji,
openmoji_cabbage,Cabbage,openmoji:cabbage,OpenMoji,
openmoji_cabbage,Red Cabbage,openmoji:cabbage,OpenMoji,use color styling
noto_leafy-green,Spinach,noto:leafy-green,Noto Emoji,use leafy green
noto_leafy-green,Arugula,noto:leafy-green,Noto Emoji,use leafy green
noto_leafy-green,Kale,noto:leafy-green,Noto Emoji,use leafy green
noto_peanuts,Green Peas,noto:peanuts,Noto Emoji,"placeholder, replace later if needed"
noto_peanuts,Edamame,noto:peanuts,Noto Emoji,placeholder for soy/edamame
twemoji_cucumber,Pickles,twemoji:cucumber,Twemoji,use cucumber
noto_tomato,Cherry Tomato,noto:tomato,Noto Emoji,use tomato
noto_eggplant,Roasted Eggplant,noto:eggplant,Noto Emoji,use eggplant with 'roasted' note
openmoji_sweet-potato,Sweet Potato,openmoji:sweet-potato,OpenMoji,
noto_potato,Potato,noto:potato,Noto Emoji,
openmoji_beet,Beetroot Cubes,openmoji:beet,OpenMoji,
openmoji_zucchini,Zucchini,openmoji:zucchini,OpenMoji,
noto_onion,Caramelized Onion,noto:onion,Noto Emoji,
noto_onion,Red Onion,noto:onion,Noto Emoji,style purple
noto_onion,Green Onion,noto:onion,Noto Emoji,style green
noto_poultry-leg,Chicken Breast,noto:poultry-leg,Noto Emoji,use chicken leg icon
noto_fish,Tuna,noto:fish,Noto Emoji,
noto_fish,Salmon,noto:fish,Noto Emoji,style orange
noto_egg,Hard-Boiled Egg,noto:egg,Noto Emoji,
noto_cheese-wedge,Bulgarian Cheese (Feta),noto:cheese-wedge,Noto Emoji,
noto_cheese-wedge,Halloumi,noto:cheese-wedge,Noto Emoji,
fluent-emoji-flat_tofu,Tofu,fluent-emoji-flat:tofu,Fluent Emoji Flat,
openmoji_chickpeas,Chickpeas,openmoji:chickpeas,OpenMoji,
openmoji_black-beans,Black Beans,openmoji:black-beans,OpenMoji,
openmoji_lentils,Green Lentils,openmoji:lentils,OpenMoji,
openmoji_lentils,Black Lentils,openmoji:lentils,OpenMoji,
openmoji_hummus,Hummus,openmoji:hummus,OpenMoji,
openmoji_quinoa,Quinoa,openmoji:quinoa,OpenMoji,
openmoji_bulgur,Bulgur,openmoji:bulgur,OpenMoji,
openmoji_brown-rice,Brown Rice,openmoji:brown-rice,OpenMoji,
noto_cooked-rice,White Rice,noto:cooked-rice,Noto Emoji,
openmoji_couscous,Couscous,openmoji:couscous,OpenMoji,
noto_spaghetti,Pasta,noto:spaghetti,Noto Emoji,
noto_bread,Croutons,noto:bread,Noto Emoji,
openmoji_sunflower-seeds,Sunflower Seeds,openmoji:sunflower-seeds,OpenMoji,
openmoji_pumpkin-seeds,Pumpkin Seeds,openmoji:pumpkin-seeds,OpenMoji,
openmoji_sesame,Sesame Seeds,openmoji:sesame,OpenMoji,
openmoji_walnut,Walnuts,openmoji:walnut,OpenMoji,
openmoji_almond,Almonds,openmoji:almond,OpenMoji,
openmoji_cashew,Cashews,openmoji:cashew,OpenMoji,
noto_peanuts,Peanuts,noto:peanuts,Noto Emoji,
noto_olive,Olives (Green),noto:olive,Noto Emoji,
noto_olive,Olives (Black),noto:olive,Noto Emoji,
openmoji_capers,Capers,openmoji:capers,OpenMoji,
noto_lemon,Pickled Lemon,noto:lemon,Noto Emoji,
noto_onion,Fried Onion,noto:onion,Noto Emoji,
noto_herb,Parsley,noto:herb,Noto Emoji,
noto_herb,Coriander,noto:herb,Noto Emoji,
openmoji_balsamic-vinegar,Balsamic,openmoji:balsamic-vinegar,OpenMoji,
noto_garlic,Garlic & Preserved Lemon,noto:garlic,Noto Emoji,
noto_lemon,Citrus Vinaigrette,noto:lemon,Noto Emoji,
noto_olive,Olive Oil & Lemon,noto:olive,Noto Emoji,
openmoji_tahini,Tahini,openmoji:tahini,OpenMoji,
openmoji_pesto,Pesto,openmoji:pesto,OpenMoji,
openmoji_soy-sauce,Soy Sauce,openmoji:soy-sauce,OpenMoji,
openmoji_caesar-dressing,Caesar,openmoji:caesar-dressing,OpenMoji,
openmoji_spicy-mayo,Spicy Mayo,openmoji:spicy-mayo,OpenMoji,
openmoji_harissa,Harissa,openmoji:harissa,OpenMoji,
openmoji_bottle-of-water,Water 0.5L,openmoji:bottle-of-water,OpenMoji,
openmoji_sparkling-water,Sparkling Water,openmoji:sparkling-water,OpenMoji,
openmoji_cola,Cola,openmoji:cola,OpenMoji,
openmoji_cola-zero,Cola Zero,openmoji:cola-zero,OpenMoji,
noto_beverage-box,Fresh Juice,noto:beverage-box,Noto Emoji,
ph_plus-bold,Add,ph:plus-bold,Phosphor,
ph_minus-bold,Remove,ph:minus-bold,Phosphor,
ph_check-circle-bold,Confirm/Success,ph:check-circle-bold,Phosphor,
ph_x-circle-bold,Error,ph:x-circle-bold,Phosphor,
ph_info-bold,Info,ph:info-bold,Phosphor,
ph_arrow-left-bold,Back,ph:arrow-left-bold,Phosphor,
ph_arrow-right-bold,Next,ph:arrow-right-bold,Phosphor,
ph_magnifying-glass-bold,Search,ph:magnifying-glass-bold,Phosphor,
ph_sliders-bold,Filter,ph:sliders-bold,Phosphor,
ph_clock-bold,Time/Slot,ph:clock-bold,Phosphor,
twemoji_hot-pepper,Hot/Spicy,twemoji:hot-pepper,Twemoji,
openmoji_vegan-symbol,Vegan,openmoji:vegan-symbol,OpenMoji,
openmoji_no-gluten,Gluten Free,openmoji:no-gluten,OpenMoji,
openmoji_vegetarian-symbol,Vegetarian,openmoji:vegetarian-symbol,OpenMoji,
openmoji_nut-allergy,Nut Warning,openmoji:nut-allergy,OpenMoji,
noto_glass-of-milk,Milk/Dairy,noto:glass-of-milk,Noto Emoji,
noto_egg,Egg Allergen,noto:egg,Noto Emoji,
noto_fish,Fish Allergen,noto:fish,Noto Emoji,
openmoji_halal,Halal,openmoji:halal,OpenMoji,
openmoji_kosher,Kosher,openmoji:kosher,OpenMoji,
ph_shopping-cart-bold,Cart,ph:shopping-cart-bold,Phosphor,
ph_credit-card-bold,Pay,ph:credit-card-bold,Phosphor,
logos_whatsapp-icon,WhatsApp,logos:whatsapp-icon,Iconify Logos,
ph_share-network-bold,Share,ph:share-network-bold,Phosphor,
ph_house-bold,Home,ph:house-bold,Phosphor,
ph_star-bold,Favorite,ph:star-bold,Phosphor,
ph_recycle-bold,Recycle,ph:recycle-bold,Phosphor,
ph_map-pin-bold,Map/Location,ph:map-pin-bold,Phosphor,
ph_hand-arrow-up-bold,Pickup,ph:hand-arrow-up-bold,Phosphor,
ph_fork-knife-bold,Kitchen,ph:fork-knife-bold,Phosphor,
ph_printer-bold,Print,ph:printer-bold,Phosphor,
twemoji_tomato,Cherry Tomatoes (variant),twemoji:tomato,Twemoji,
twemoji_tomato,Grape Tomatoes,twemoji:tomato,Twemoji,
twemoji_cucumber,Cucumber Slices,twemoji:cucumber,Twemoji,
noto_leafy-green,Mixed Greens,noto:leafy-green,Noto Emoji,
noto_leafy-green,Romaine Lettuce,noto:leafy-green,Noto Emoji,
noto_leafy-green,Iceberg Lettuce,noto:leafy-green,Noto Emoji,
noto_leafy-green,Arugula (Rocket),noto:leafy-green,Noto Emoji,
noto_leafy-green,Spinach Leaves,noto:leafy-green,Noto Emoji,
noto_olive,Kalamata Olives,noto:olive,Noto Emoji,
noto_olive,Green Olives Sliced,noto:olive,Noto Emoji,
noto_olive,Black Olives Sliced,noto:olive,Noto Emoji,
noto_bell-pepper,Roasted Peppers,noto:bell-pepper,Noto Emoji,
noto_bell-pepper,Red Peppers,noto:bell-pepper,Noto Emoji,
noto_bell-pepper,Yellow Peppers,noto:bell-pepper,Noto Emoji,
noto_bell-pepper,Orange Peppers,noto:bell-pepper,Noto Emoji,
noto_carrot,Grated Carrot,noto:carrot,Noto Emoji,
openmoji_cabbage,Shredded Cabbage,openmoji:cabbage,OpenMoji,
openmoji_cabbage,Coleslaw Mix,openmoji:cabbage,OpenMoji,
openmoji_beet,Beet Slices,openmoji:beet,OpenMoji,
twemoji_radish,Radish Slices,twemoji:radish,Twemoji,
openmoji_green-beans,Green Beans,openmoji:green-beans,OpenMoji,
twemoji_hot-pepper,Chili Flakes,twemoji:hot-pepper,Twemoji,
noto_lemon,Lemon Wedge,noto:lemon,Noto Emoji,
openmoji_lime,Lime,openmoji:lime,OpenMoji,
openmoji_vinegar,Vinegar Bottle,openmoji:vinegar,OpenMoji,
openmoji_olive-oil,Olive Oil Bottle,openmoji:olive-oil,OpenMoji,
noto_honey-pot,Honey,noto:honey-pot,Noto Emoji,
openmoji_mustard,Mustard,openmoji:mustard,OpenMoji,
openmoji_ketchup,Ketchup,openmoji:ketchup,OpenMoji,
openmoji_mayonnaise,Mayo,openmoji:mayonnaise,OpenMoji,
openmoji_bbq-sauce,BBQ Sauce,openmoji:bbq-sauce,OpenMoji,
openmoji_yogurt,Yogurt,openmoji:yogurt,OpenMoji,
openmoji_yogurt,Greek Yogurt,openmoji:yogurt,OpenMoji,
openmoji_labneh,Labneh,openmoji:labneh,OpenMoji,
noto_cheese-wedge,Feta Crumbles,noto:cheese-wedge,Noto Emoji,
noto_cheese-wedge,Mozzarella,noto:cheese-wedge,Noto Emoji,
noto_cheese-wedge,Parmesan,noto:cheese-wedge,Noto Emoji,
openmoji_tortilla,Tortilla,openmoji:tortilla,OpenMoji,
openmoji_pita,Pita,openmoji:pita,OpenMoji,
openmoji_wrap,Wrap,openmoji:wrap,OpenMoji,
openmoji_falafel,Falafel,openmoji:falafel,OpenMoji,
openmoji_shawarma,Shawarma Chicken,openmoji:shawarma,OpenMoji,
openmoji_turkey-meat,Turkey,openmoji:turkey-meat,OpenMoji,
openmoji_roast-beef,Roast Beef,openmoji:roast-beef,OpenMoji,
openmoji_tuna-salad,Tuna Salad,openmoji:tuna-salad,OpenMoji,
openmoji_pasta-salad,Pasta Salad,openmoji:pasta-salad,OpenMoji,
openmoji_egg-salad,Egg Salad,openmoji:egg-salad,OpenMoji,
openmoji_potato-salad,Potato Salad,openmoji:potato-salad,OpenMoji,
openmoji_caprese-salad,Caprese,openmoji:caprese-salad,OpenMoji,
openmoji_greek-salad,Greek Salad,openmoji:greek-salad,OpenMoji,
openmoji_nicoise-salad,Nicoise Salad,openmoji:nicoise-salad,OpenMoji,
openmoji_caesar-salad,Caesar Salad,openmoji:caesar-salad,OpenMoji,
noto_bread,Croutons (variant),noto:bread,Noto Emoji,
openmoji_seedling,Seeds Mix,openmoji:seedling,OpenMoji,generic seed icon
openmoji_peanut,Toasted Nuts,openmoji:peanut,OpenMoji,
openmoji_almond,Sliced Almonds,openmoji:almond,OpenMoji,
openmoji_walnut,Walnut Pieces,openmoji:walnut,OpenMoji,
openmoji_pine-nut,Pine Nuts,openmoji:pine-nut,OpenMoji,
twemoji_tomato,Sun-Dried Tomatoes,twemoji:tomato,Twemoji,
openmoji_artichoke,Artichoke,openmoji:artichoke,OpenMoji,
openmoji_hearts-of-palm,Hearts of Palm,openmoji:hearts-of-palm,OpenMoji,
openmoji_capers,Caper Berries,openmoji:capers,OpenMoji,
openmoji_anchovy,Anchovy,openmoji:anchovy,OpenMoji,
openmoji_salmon,Smoked Salmon,openmoji:salmon,OpenMoji,
openmoji_tzatziki,Tzatziki,openmoji:tzatziki,OpenMoji,
openmoji_sour-cream,Sour Cream,openmoji:sour-cream,OpenMoji,
noto_onion,Pickled Onion,noto:onion,Noto Emoji,
noto_garlic,Roasted Garlic,noto:garlic,Noto Emoji,
twemoji_hot-pepper,Green Chili,twemoji:hot-pepper,Twemoji,
noto_ear-of-corn,Yellow Corn,noto:ear-of-corn,Noto Emoji,
noto_cheese-wedge,White Cheese,noto:cheese-wedge,Noto Emoji,
openmoji_blue-cheese,Blue Cheese,openmoji:blue-cheese,OpenMoji,
openmoji_goat-cheese,Goat Cheese,openmoji:goat-cheese,OpenMoji,
openmoji_ricotta,Ricotta,openmoji:ricotta,OpenMoji,
openmoji_cottage-cheese,Cottage Cheese,openmoji:cottage-cheese,OpenMoji,
openmoji_tahini,Tahini-Green,openmoji:tahini,OpenMoji,style green
openmoji_pomegranate,Pomegranate Seeds,openmoji:pomegranate,OpenMoji,
noto_red-apple,Apple Slices,noto:red-apple,Noto Emoji,
noto_pear,Pear Slices,noto:pear,Noto Emoji,
noto_grapes,Grapes,noto:grapes,Noto Emoji,
openmoji_cranberries,Cranberries (dried),openmoji:cranberries,OpenMoji,
openmoji_raisins,Raisins,openmoji:raisins,OpenMoji,
openmoji_dates,Dates,openmoji:dates,OpenMoji,
openmoji_fig,Fig,openmoji:fig,OpenMoji,
noto_tangerine,Orange Segments,noto:tangerine,Noto Emoji,
openmoji_grapefruit,Grapefruit,openmoji:grapefruit,OpenMoji,
openmoji_orange,Blood Orange,openmoji:orange,OpenMoji,
noto_lemon,Lemon Zest,noto:lemon,Noto Emoji,
openmoji_lime,Lime Zest,openmoji:lime,OpenMoji,
openmoji_vegan-symbol,Vegan Label,openmoji:vegan-symbol,OpenMoji,
openmoji_no-gluten,Gluten Free Label,openmoji:no-gluten,OpenMoji,
twemoji_hot-pepper,Spicy Label,twemoji:hot-pepper,Twemoji,
openmoji_halal,Halal Label,openmoji:halal,OpenMoji,
openmoji_kosher,Kosher Label,openmoji:kosher,OpenMoji,
